onset_s,event_time_s,duration_s,end_s,type,channel,confidence,notes,finger_id,action_id,trial_id,block_id,session_mode,source,lsl_ts_mono,local_ts,event_id,event_index,label
618.6261293590069,618.6261293590069,0.7724337922409177,619.3985631512478,thumb_open,n/a,,,1,1,0,0,,keyboard,3025698.598999625,1771283478.1742232,29,29,thumb_open
621.0351380673237,621.0351380673237,0.7602168750017881,621.7953549423255,thumb_open,n/a,,,1,1,0,0,,keyboard,3025700.995791416,1771283480.5709262,30,30,thumb_open
623.4416274013929,623.4416274013929,0.8364446246996522,624.2780720260926,thumb_open,n/a,,,1,1,0,0,,keyboard,3025703.4785085,1771283483.0535512,31,31,thumb_open
625.8848950671963,625.8848950671963,0.9522028341889381,626.8370979013853,thumb_open,n/a,,,1,1,0,0,,keyboard,3025706.037534375,1771283485.612488,32,32,thumb_open
628.547695172485,628.547695172485,0.9061073535121977,629.4538025259972,thumb_open,n/a,,,1,1,0,0,,keyboard,3025708.654239,1771283488.229088,33,33,thumb_open
631.1204409012571,631.1204409012571,0.7708806251175702,631.8913215263747,thumb_open,n/a,,,1,1,0,0,,keyboard,3025711.091758,1771283490.666516,34,34,thumb_open
633.4691712195054,633.4691712195054,0.8063464318402112,634.2755176513456,thumb_open,n/a,,,1,1,0,0,,keyboard,3025713.475954125,1771283493.0506282,35,35,thumb_open
636.0376267763786,636.0376267763786,0.9320426657795906,636.9696694421582,thumb_open,n/a,,,1,1,0,0,,keyboard,3025716.170105916,1771283495.744677,36,36,thumb_open
638.6509068170562,638.6509068170562,0.8239327501505613,639.4748395672068,thumb_open,n/a,,,1,1,0,0,,keyboard,3025718.675276041,1771283498.2497542,37,37,thumb_open
641.2984648337588,641.2984648337588,0.7253345674835145,642.0237994012423,thumb_open,n/a,,,1,1,0,0,,keyboard,3025721.224235875,1771283500.798622,38,38,thumb_open
643.9128414839506,643.9128414839506,0.5752079170197248,644.4880494009703,thumb_open,n/a,,,1,1,0,0,,keyboard,3025723.688485875,1771283503.26278,39,39,thumb_open
646.3596705673262,646.3596705673262,0.6629417496733367,647.0226123169996,thumb_open,n/a,,,1,1,0,0,,keyboard,3025726.223048791,1771283505.797251,40,40,thumb_open
648.7307453593239,648.7307453593239,0.8639757917262614,649.5947211510502,thumb_open,n/a,,,1,1,0,0,,keyboard,3025728.795157625,1771283508.369261,41,41,thumb_open
