lsl_timestamp,ch1,ch2,ch3,ch4
776098.6288011908,-106.4453125,-38.0859375,-34.66796875,-101.5625
776098.6325460416,-104.4921875,-41.50390625,-25.87890625,-107.421875
776098.6362908925,-110.83984375,-46.875,-28.80859375,-100.09765625
776098.6400357434,-129.8828125,-46.38671875,-28.80859375,-101.5625
776098.6437805942,-130.859375,-51.26953125,-21.97265625,-93.26171875
776098.6475254451,-127.44140625,-49.31640625,-22.94921875,-72.265625
776098.651270296,-139.16015625,-49.31640625,-24.90234375,-88.8671875
776098.6550151468,-139.6484375,-52.734375,-20.01953125,-118.65234375
776098.6587599977,-123.046875,-47.8515625,-24.4140625,-99.609375
776098.6625048486,-138.671875,-43.9453125,-31.25,-84.47265625
776098.6779781299,-122.0703125,-47.8515625,-25.390625,-92.28515625
776098.6828151525,-102.5390625,-50.78125,-28.3203125,-103.515625
776098.687652175,-103.02734375,-57.6171875,-25.390625,-75.68359375
776098.6924891975,-92.28515625,-54.6875,-23.92578125,-53.7109375
776098.69732622,-89.84375,-47.8515625,-26.85546875,-84.47265625
776098.7021632425,-100.5859375,-45.8984375,-21.97265625,-95.703125
776098.707000265,-81.54296875,-32.71484375,-28.80859375,-88.37890625
776098.7118372875,-62.5,-33.203125,-33.203125,-72.265625
776098.71667431,-54.6875,-49.8046875,-27.83203125,-60.05859375
776098.7215113326,-52.24609375,-45.41015625,-27.34375,-66.89453125
776098.7263483551,-86.42578125,-34.1796875,-35.64453125,-59.5703125
776098.7311853776,-120.60546875,-36.62109375,-33.203125,-61.5234375
776098.7360224001,-126.953125,-41.50390625,-31.73828125,-25.390625
776098.7408594226,-154.78515625,-31.73828125,-26.3671875,-11.23046875
776098.7456964451,-186.5234375,-25.87890625,-26.3671875,-62.01171875
776098.7505334676,-176.7578125,-34.1796875,-32.2265625,-55.6640625
776098.7553704901,-145.99609375,-44.43359375,-34.1796875,-21.97265625
776098.7602075126,-141.6015625,-41.015625,-31.73828125,-32.71484375
776098.7650445352,-158.69140625,-39.55078125,-32.71484375,-64.94140625
776098.7698815577,-166.50390625,-36.1328125,-42.48046875,-69.82421875
776098.7415597626,-146.97265625,-32.71484375,-36.1328125,-60.05859375
776098.7450126568,-121.09375,-45.41015625,-28.3203125,-51.26953125
776098.748465551,-108.88671875,-41.50390625,-31.73828125,-69.82421875
776098.7519184451,-98.6328125,-40.0390625,-43.9453125,-56.15234375
776098.7553713393,-121.58203125,-40.52734375,-38.57421875,-42.48046875
776098.7588242334,-121.58203125,-31.25,-32.71484375,-46.38671875
