lsl_timestamp,ch1,ch2,ch3,ch4
49050.27999355836,-1000.0,-793.45703125,155.2734375,-1000.0
49050.28387207951,-1000.0,52.24609375,289.55078125,-1000.0
49050.28775060066,-1000.0,651.3671875,339.84375,-1000.0
49050.29162912181,-1000.0,142.08984375,245.60546875,-1000.0
49050.295507642964,-1000.0,-276.3671875,204.1015625,-1000.0
49050.299386164115,-1000.0,79.58984375,273.4375,-1000.0
49050.303264685266,-1000.0,872.0703125,351.5625,-1000.0
49050.30714320642,-996.09375,609.86328125,303.22265625,-1000.0
49050.31102172757,-1000.0,-110.3515625,201.171875,-1000.0
49050.31490024872,-1000.0,-44.43359375,233.3984375,-1000.0
49050.31877876987,-914.0625,669.921875,330.56640625,-1000.0
49050.32265729102,-967.7734375,613.76953125,286.1328125,-1000.0
49050.32653581217,-966.30859375,127.9296875,248.046875,-1000.0
49050.33041433332,-1000.0,-66.40625,247.0703125,-1000.0
49050.33108205164,-175.78125,540.0390625,329.58984375,-1000.0
49050.334680228436,-41.015625,874.51171875,336.42578125,-1000.0
49050.33827840523,-1000.0,279.78515625,248.046875,-1000.0
49050.341876582024,-1000.0,-144.04296875,226.5625,-1000.0
49050.34547475882,-672.8515625,231.4453125,278.3203125,-1000.0
49050.34907293561,-345.21484375,787.59765625,321.77734375,-1000.0
49050.35267111241,-1000.0,386.71875,271.97265625,-1000.0
49050.3562692892,-1000.0,-201.171875,225.09765625,-1000.0
49050.359867465995,-972.16796875,-226.5625,240.234375,-1000.0
49050.36346564279,-1000.0,495.1171875,322.265625,-1000.0
49050.36706381958,-1000.0,536.62109375,293.45703125,-1000.0
49050.37066199638,-1000.0,-234.375,192.87109375,-1000.0
49050.37426017317,-1000.0,-431.640625,189.453125,-1000.0
49050.377858349966,-1000.0,495.60546875,323.73046875,-1000.0
49050.38145652676,-1000.0,707.51953125,335.9375,-1000.0
49050.385054703554,-1000.0,-122.55859375,205.56640625,-1000.0
49050.38865288035,-1000.0,-529.78515625,176.7578125,-1000.0
49050.39225105714,-1000.0,60.546875,279.296875,-1000.0
49050.39584923394,-1000.0,459.9609375,271.484375,-1000.0
49050.39944741073,-1000.0,-288.57421875,173.828125,-1000.0
49050.407418432565,-1000.0,-974.609375,29.78515625,-1000.0
49050.41117171437,-1000.0,-374.51171875,128.90625,-1000.0
