lsl_timestamp,time_s,ch1,ch2,ch3,ch4,pred_action,pred_finger,action_confidence,action_uncertainty,finger_confidence,finger_uncertainty,velocity,latency_ms
753431.7053936534,67.59160027094185,0.4569414147298829,-0.29373917540980415,0.4361043035075289,1.1370929810927124,1.527132418730846,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7091639322,67.59537054982502,0.49685583411615514,0.08405808606226654,-0.18219924603031273,0.5214848720545557,0.31062876136325085,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7129342111,67.59914082870819,0.25132319790294194,0.2226605437918341,-0.46559573016875466,-0.16743697201998384,-0.8114860054959164,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.71670449,67.60291110759135,-0.062477895701280005,-0.11384444069861631,-0.19411679096908344,-0.2061781917090387,-0.43673368938471646,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7204747689,67.60668138647452,-0.002726255382274159,-0.48115230869763204,0.0746640522148733,0.26966500233442314,0.3155340270532114,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7207387168,67.60694533435162,0.5010967432208298,0.28887625469027367,-0.23882498785247327,0.32333518911371834,-0.1844042722302075,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7243186655,67.61052528303117,-0.008122347572198365,0.4156767339583278,-0.3849733822362102,-0.48321911938961876,-0.7442026672140455,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7278986141,67.61410523171071,-0.2749471609954718,-0.09133006688608598,0.11557213590163856,-0.20624326909380936,0.11132835440109595,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7314785628,67.61768518039025,-0.02258812460249517,-0.41589942568626376,0.062421204127407356,0.19899139157380605,0.22454456695526126,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7350585115,67.6212651290698,-0.033149155251734334,-0.4851524829400719,-0.18883455498166085,0.028633427209828158,-0.128660185263155,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7386384602,67.62484507774934,-0.24879742000408595,-0.3526411294780029,0.04745126652334171,-0.09548468796608643,0.18765424731428987,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7422184089,67.62842502642889,-0.6257809544360728,-0.8783252732882068,0.29370868473381223,-0.032085878206451354,1.1150562410724887,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7457983575,67.63200497510843,-0.27307392314558365,-0.628772077239581,0.06078848851465278,0.19256900348795494,1.1836340785809696,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7493783062,67.63558492378797,0.3474370932948717,0.1436355009915799,-0.24739509444466373,0.19927905598178744,-0.1749651650127436,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7529582549,67.63916487246752,0.21331148093811642,-0.10876562024740932,-0.09365855907837571,0.20888040088066526,-0.15415394889477307,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7565382036,67.64274482114706,-0.1329889688576802,-0.1534457439915754,-0.24769575828914928,-0.2865310864342311,-0.3951722789129096,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7601181522,67.6463247698266,0.27092421369685005,0.6713959881162035,-0.3892747496436597,-0.2908059358773809,-0.8901394793106326,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7636981009,67.64990471850615,0.8585318213673929,0.7413611746627918,0.08375322581333718,0.7054920045161951,-0.18791685153539026,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7672780496,67.6534846671857,0.5505964805302915,0.06694045533359777,0.1400104254836557,0.7477894076027971,0.4025426160297878,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7708579983,67.65706461586524,-0.0805168608380538,0.06345562121031226,-0.35334322424617537,-0.16217620325905946,0.4997436077720325,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.774437947,67.66064456454478,-0.5266523961696044,-0.15139559279477832,-0.23066080841715766,-0.6472782441315637,-0.013732554482755174,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7780178956,67.66422451322433,0.12822285797222668,0.17149417026932626,-0.4469731805887791,-0.14871667756614435,-0.18479712344822818,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7815978443,67.66780446190387,0.719624988488155,0.6646166788801946,-0.9893968931400902,0.26503811311265385,0.5456601013936578,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.785177793,67.67138441058341,0.11112313848754087,0.09505211504318016,-1.161559869260819,0.031661026847723164,2.0988896172149194,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.7887577417,67.67496435926296,-0.6530947062678757,-0.4701145218152043,-0.9401927728767084,-0.843635119636537,0.6485381655657664,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8110160009,67.69722261850256,-0.03484306602385317,0.07757937592665937,-0.714411317858365,-0.5412438453501764,-0.7777021238616936,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.81499822,67.70120483753271,0.770036340364658,0.7870521195490253,-0.7782788451943279,0.2463880067723422,-0.038425731753519,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.818980439,67.70518705656286,-0.38634686528611817,-0.5008993166508326,-0.4824942945754107,-0.5029020522973783,-0.16744476709734166,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.822962658,67.70916927559301,-1.0281334848976895,-1.178936060755134,0.616776376013901,-0.6489490822440784,-0.8174436661255822,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.826944877,67.71315149462316,0.20411717403567264,0.07442697425079033,-0.06630643778045943,0.08235521719683177,-0.44672115306769533,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8309270961,67.71713371365331,0.4302548609659387,0.2243637969327905,-0.8083390077703612,0.12223876387654721,0.30342079771169095,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8349093151,67.72111593268346,0.268932142622229,0.31299418254965583,-0.08036065041933851,0.10957687323595948,-0.22975837275092284,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8388915341,67.72509815171361,0.1589446450292783,0.2862691832955006,0.1626667548596529,-0.013333330060309054,-0.7640675338410022,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8428737532,67.72908037074376,-0.59048711536949,-0.6556452204702078,-0.09008400331957012,-0.5162786073680186,-0.2008535890176452,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8468559722,67.73306258977391,-0.7419802063820242,-0.9644505847162352,-0.6682628807529802,-0.6007584512618609,0.8740503102910699,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8508381912,67.73704480880406,-0.592251440843388,-0.813438741724764,-0.7152209614255488,-0.46881050911434996,1.047127213584917,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8548204103,67.7410270278342,-0.4168243204898006,-0.24133241165768607,-0.4049241157636985,-0.45729058109497156,0.4983728732555875,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8588026293,67.74500924686436,-0.6718714429707032,-0.4941349079434091,0.31057667888294904,-0.4718719681245756,-0.0976337106937144,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8627848483,67.7489914658945,-0.7612510233704662,-1.0405447820248885,-0.2727173135589714,-0.41394908649674195,0.9208724229024249,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8667670673,67.75297368492465,-0.5570783786970676,-0.8652121025826365,-0.734737443178174,-0.327244885444601,1.4798834940575483,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8707492864,67.7569559039548,-0.21111747401669692,-0.3267272391576458,-0.18337469376449675,-0.15782668453315876,0.2073430142646751,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8747315054,67.76093812298495,-0.10420843442115697,-0.20165417452002732,-0.3925828338735292,-0.1622632148649631,0.2536183393375602,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8787137244,67.7649203420151,-0.18283988572310997,-0.40879828362816045,-0.4966538904279069,-0.11556694496006135,0.7579223937890284,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8826959435,67.76890256104525,0.8421425371400749,0.7362181767172282,-0.4065257534650888,0.5435694398365937,0.13092576753668494,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8866781625,67.7728847800754,0.681972609694469,0.6776268923457313,-0.19859465671315388,0.3180453114238683,-0.6016698801288219,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.886092333,67.77229895058554,-0.05661761409750261,0.06420408782871471,-0.04769814424909519,-0.15216199152280815,-0.2080269374663974,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.889834791,67.7760414085351,0.6220974323523549,0.8817947805622256,-0.23833553794409312,0.2957682693967125,0.04690105250154675,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8935772489,67.77978386648465,0.7662139933593108,0.9311089779894028,-0.9133270728734021,0.24464202881793784,0.49795601773215903,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.8973197069,67.7835263244342,0.7154296147720517,0.8858018173764023,-0.7368052421464253,0.22718575450868486,0.24898721419868539,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9010621648,67.78726878238376,0.20911191322247685,0.24350879463031175,-0.8582169741607568,-0.11147924586575178,0.5233357010292503,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9048046228,67.79101124033332,-0.3026735802162678,-0.3596505744874774,-2.1541500360798866,-0.6162125331550788,2.518903374237002,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9085470807,67.79475369828288,0.3609769547799518,0.32380344749741025,-1.523160283981829,-0.04501792783402239,1.5223997108883822,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9122895387,67.79849615623243,0.6408854934938083,0.06646354231285333,-0.25856293437416517,0.4483744471751666,-0.6859279200422751,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9160319966,67.80223861418199,-0.02103231868678995,-0.4031650728673891,0.02794674852554438,0.02736177782107149,-0.5047700492914612,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9197744546,67.80598107213154,-0.45526736266967704,-0.40219677085613575,-0.23503692316758615,-0.5349110911150284,-0.2866162184386498,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9235169125,67.8097235300811,0.04872331168736333,0.05349717875174016,-0.6646614100435306,-0.3838076215798593,-0.62549548591899,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9272593705,67.81346598803066,0.5646970806520498,0.9192128710195583,-0.546140631479976,-0.07621933157393744,-0.7106298395815074,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9310018284,67.81720844598021,-0.16264157976307778,1.020031135202151,-0.049799877954361776,-0.49053921119145905,0.4011474037451529,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9347442864,67.82095090392977,-0.7267563367851482,-0.5693605944775256,-0.4267990616311666,-0.6295026023641079,0.8365262151797905,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9384867443,67.82469336187933,-0.036960545875783395,-1.3028330997961985,-0.6431846889564626,0.1768493158679623,0.12701641780290343,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9422292023,67.82843581982888,0.340161455347799,-0.43877441853092775,-0.6263204024929957,0.24418695187570735,-0.14222932307197753,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9459716602,67.83217827777844,-0.006721346454061685,0.16783847599047982,-0.03794197051025072,0.12615301057166897,0.9995816579844743,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9497141181,67.835920735728,-0.3838629385531997,0.6543041370056326,0.6590035175671834,-0.1023852462162566,1.352055869050605,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9534565761,67.83966319367755,-0.09822371301457015,0.6022570933265757,0.6555720583138294,-0.19062573976173922,-0.6886301100029459,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.957199034,67.84340565162711,0.2285518085923308,-0.37030166893896355,-0.1621748148256365,0.39213930727731683,0.3250814212791331,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9775457087,67.86375232622959,-0.09707612015482957,-1.219126914870108,-0.8574744643905428,0.4091161316058608,2.1355497078697154,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9825477262,67.86875434382819,-0.7687418873623325,-2.3227673657488985,-0.5114664535888167,-0.17464911367360966,0.38978059420909306,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9875497438,67.87375636142679,-0.9487998989244194,-2.261319953537002,0.3607536735976546,-0.41358828478676724,-1.4576823138154726,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753431.9925517614,67.87875837902538,-0.25720734655804295,-1.000267102026985,0.8377399536451837,0.28645904317273374,-0.6886094642343609,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
