lsl_timestamp,ch1,ch2,ch3,ch4
753364.9286730299,-66.40625,-2.44140625,4.8828125,-12.20703125,-762.20703125
753364.9251016264,-64.94140625,-8.7890625,-7.8125,-20.99609375,-893.06640625
753364.9288340814,-16.6015625,-45.41015625,-49.8046875,-10.25390625,-691.40625
753364.9325665364,-6.8359375,-53.7109375,-71.77734375,-11.23046875,-630.859375
753364.9362989913,-37.109375,-15.625,-37.59765625,-5.37109375,-332.03125
753364.9400314463,-62.01171875,-14.16015625,-19.53125,-8.30078125,-184.08203125
753364.9437639012,-9.765625,-18.5546875,-37.59765625,11.23046875,43.9453125
753364.9474963562,26.3671875,-13.671875,-37.109375,26.85546875,379.8828125
753364.9512288112,-22.4609375,-20.01953125,-4.8828125,-0.9765625,-81.54296875
753364.9549612661,-45.41015625,-34.1796875,-5.859375,-7.32421875,-466.796875
753364.9586937211,-9.765625,-51.7578125,-8.30078125,14.6484375,70.80078125
753364.9624261761,30.2734375,-40.0390625,-16.6015625,9.765625,-103.02734375
753364.966158631,21.484375,-19.04296875,-38.0859375,-3.41796875,-462.40234375
753364.969891086,-26.3671875,-25.390625,-20.01953125,-14.16015625,-183.10546875
753364.973623541,-12.20703125,-26.3671875,-13.671875,-9.765625,-217.28515625
753364.9773559959,44.43359375,-16.11328125,-49.8046875,-4.8828125,-572.265625
753364.9810884509,18.06640625,-33.203125,-64.453125,-22.4609375,-641.11328125
753364.9848209058,-32.2265625,-41.9921875,-29.296875,-20.01953125,-450.68359375
753364.9885533608,-49.8046875,-27.34375,-5.859375,-37.59765625,-164.0625
753364.9922858158,-26.85546875,-20.99609375,-21.484375,-35.64453125,149.90234375
753364.9960182707,0.0,-33.69140625,-24.90234375,-15.625,16.11328125
753365.0026559227,-53.7109375,-31.73828125,-3.41796875,-22.4609375,234.375
753365.0063248237,-102.5390625,-29.78515625,-14.6484375,-37.59765625,315.4296875
753365.0099937248,-63.96484375,-23.4375,-47.36328125,-41.9921875,-335.44921875
753365.0136626258,-33.69140625,-22.94921875,-34.66796875,-25.390625,69.82421875
753365.0173315268,-46.38671875,-24.4140625,-1.46484375,-20.5078125,387.6953125
753365.0210004279,-80.56640625,-28.80859375,-14.16015625,-28.80859375,-13.671875
753365.0246693289,-62.01171875,-21.97265625,-29.296875,-18.06640625,-203.61328125
753365.02833823,4.8828125,-6.34765625,-42.96875,23.92578125,-0.9765625
753365.032007131,-21.97265625,-44.921875,-42.96875,32.71484375,528.80859375
753365.0356760321,-90.33203125,-66.89453125,-49.31640625,-12.20703125,388.671875
